Product Name,Release Date,First appearance,Continuity,MSRP,Grade
Gundam AGE-1 Normal (HG),2011-09-23,Mobile Suit Gundam AGE,UC,1320,HG
Gafran (HG),2011-10-01,Mobile Suit Gundam AGE,UC,1320,HG
Genoace (HG),2011-10-22,Mobile Suit Gundam AGE,UC,1320,HG
Genoace Custom (HG),2011-11-12,Mobile Suit Gundam AGE,UC,1320,HG
Gundam AGE-1 Titus (HG),2011-11-19,Mobile Suit Gundam AGE,UC,1320,HG
Zedas (HG),2011-11-26,Mobile Suit Gundam AGE,UC,1650,HG
Gundam AGE-1 Spallow (HG),2011-12-10,Mobile Suit Gundam AGE,UC,1320,HG
Baqto (HG),2011-12-10,Mobile Suit Gundam AGE,UC,1650,HG
G-Exes (HG),2011-12-17,Mobile Suit Gundam AGE,UC,1320,HG
Gundam AGE-2 Normal (HG),2012-01-21,Mobile Suit Gundam AGE,UC,1650,HG
Dorado (HG),2012-01-28,Mobile Suit Gundam AGE,UC,1320,HG
Zedas R (HG),2012-01-28,Mobile Suit Gundam AGE,UC,1650,HG
Adele (HG),2012-02-11,Mobile Suit Gundam AGE,UC,1320,HG
G-Bouncer (HG),2012-02-11,Mobile Suit Gundam AGE,UC,1650,HG
Zeydra (HG),2012-02-25,Mobile Suit Gundam AGE,UC,1430,HG
Genoace II (HG),2012-03-17,Mobile Suit Gundam AGE,UC,1320,HG
Gundam AGE-2 Double Bullet (HG),2012-03-24,Mobile Suit Gundam AGE,UC,1650,HG
Shaldoll Custom (HG),2012-04-14,Mobile Suit Gundam AGE,UC,1320,HG
Adele (Diva Colors) (HG),2012-04-21,Mobile Suit Gundam AGE,UC,1320,HG
Farsia (HG),2012-04-28,Mobile Suit Gundam AGE,UC,1320,HG
Gundam AGE-3 Normal (HG),2012-05-12,Mobile Suit Gundam AGE,UC,1760,HG
Danazine (HG),2012-05-12,Mobile Suit Gundam AGE,UC,1650,HG
Ghirarga (HG),2012-06-16,Mobile Suit Gundam AGE,UC,1430,HG
Gundam AGE-2 Dark Hound (HG),2012-07-14,Mobile Suit Gundam AGE,UC,1650,HG
G-Exes Jackedge (HG),2012-07-28,Mobile Suit Gundam AGE,UC,1320,HG
Gundam AGE-3 Orbital (HG),2012-08-08,Mobile Suit Gundam AGE,UC,1980,HG
Gundam AGE-FX (HG),2012-08-25,Mobile Suit Gundam AGE,UC,1760,HG
Clanche (HG),2012-09-08,Mobile Suit Gundam AGE,UC,1430,HG
Gundam Legilis (HG),2012-10-06,Mobile Suit Gundam AGE,UC,1650,HG
Gundam AGE-3 Fortress (HG),2012-11-23,Mobile Suit Gundam AGE,UC,1980,HG
Clanche Custom (HG),2012-12-08,Mobile Suit Gundam AGE,UC,1430,HG
Gundam AGE-FX Burst Mode (HG),2013-01-19,Mobile Suit Gundam AGE,UC,1980,HG
Shaldoll Rogue (HG),2013-02-09,Mobile Suit Gundam AGE,UC,1430,HG
Gundam AGE-1 Full Glansa (HG),2013-04-13,Mobile Suit Gundam AGE,UC,1760,HG
Gundam AGE-1 Normal (MG),2012-02-25,Mobile Suit Gundam AGE,UC,3850,MG
Gundam AGE-1 Titus (MG),2012-03-17,Mobile Suit Gundam AGE,UC,3850,MG
Gundam AGE-1 Spallow (MG),2012-04-28,Mobile Suit Gundam AGE,UC,3850,MG
Gundam AGE-2 Normal (MG),2012-08-11,Mobile Suit Gundam AGE,UC,4620,MG
Gundam AGE-2 Dark Hound (MG),2012-08-11,Mobile Suit Gundam AGE,UC,4620,MG
Gundam AGE-2 Double Bullet (MG),2013-06-21,Mobile Suit Gundam AGE,UC,4620,MG
Gundam AGE-1 (SD),2012-03-10,Mobile Suit Gundam AGE,UC,1100,SD
Gundam AGE-2 (SD),2012-05-12,Mobile Suit Gundam AGE,UC,1100,SD
Gundam AGE-3 (SD),2012-07-07,Mobile Suit Gundam AGE,UC,1320,SD
Gundam Legilis (SD),2012-09-08,Mobile Suit Gundam AGE,UC,1100,SD
Gundam AGE-FX (SD),2012-11-10,Mobile Suit Gundam AGE,UC,1100,SD
G-Xiphos (HG),2013-03-16,Mobile Suit Gundam AGE: Memories of Sid,UC,1650,HG
Gundam F90 (SD),1992-01-15,Mobile Suit Gundam F90,UC,550,SD
Gundam F90 A/P/V Type (SD),1991,Mobile Suit Gundam F90,UC,550,SD
Gundam F91 (HG),2013-12-21,Mobile Suit Gundam F91,UC,1320,HG
Gundam F91 (MG),2006-07-29,Mobile Suit Gundam F91,UC,3520,MG
Gundam F91 (2.0) (MG),2018-05-19,Mobile Suit Gundam F91,UC,4400,MG
Vigna Ghina,2018-06-23,Mobile Suit Gundam F91,UC,3520,RE
Gundam F91 (SD),1991-03-25,Mobile Suit Gundam F91,UC,550,SD
Gundam F91 (SD),1991,Mobile Suit Gundam F91,UC,550,SD
Zudah (HG),2006-06-11,Mobile Suit Gundam MS IGLOO,UC,1540,HG
Ball (Shark Mouth) (MG),2006-08-09,Mobile Suit Gundam MS IGLOO,UC,2420,MG
Zaku II “White Ogre” (2.0) (MG),2009-06-25,Mobile Suit Gundam MS IGLOO,UC,3850,MG
Unicorn Gundam 03 Phenex (SD),2014-09-06,Mobile Suit Gundam MSV,UC,1320,SD
Sinanju Stein (Narrative version) (HG),2018-10-27,Mobile Suit Gundam Narrative,UC,2860,HG
Narrative Gundam A-Packs (HG),2018-11-30,Mobile Suit Gundam Narrative,UC,6050,HG
Narrative Gundam C-Packs (HG),2019-03-09,Mobile Suit Gundam Narrative,UC,2530,HG
Silver Bullet Suppressor (HG),2019-06-22,Mobile Suit Gundam Narrative,UC,2970,HG
Sinanju Stein (Narrative version) (MG),2019-01-19,Mobile Suit Gundam Narrative,UC,8250,MG
Narrative Gundam C-Packs (Ver. Ka) (MG),2024-04-27,Mobile Suit Gundam Narrative,UC,7700,MG
Sinanju Stein (Narrative version) (Ver. Ka) (MG),2024-06-29,Mobile Suit Gundam Narrative,UC,8800,MG
Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative ver.) (SD),2018-12-08,Mobile Suit Gundam Narrative,UC,1320,SD
Aile Strike Gundam (MG),2002-12-07,Mobile Suit Gundam SEED,CE,2200,MG
Aegis Gundam (MG),2002-02,Mobile Suit Gundam SEED,CE,2420,MG
Buster Gundam (MG),2003-03,Mobile Suit Gundam SEED,CE,2200,MG
Sword Strike Gundam (MG),2003-03,Mobile Suit Gundam SEED,CE,2420,MG
Launcher Strike Gundam (MG),2003-03,Mobile Suit Gundam SEED,CE,2420,MG
Duel Gundam Assault Shroud (MG),2003-05,Mobile Suit Gundam SEED,CE,2420,MG
Freedom Gundam (MG),2003-07,Mobile Suit Gundam SEED,CE,2420,MG
Justice Gundam (MG),2003-08,Mobile Suit Gundam SEED,CE,2420,MG
Blitz Gundam (MG),2003-12,Mobile Suit Gundam SEED,CE,2200,MG
Providence Gundam (MG),2004-05,Mobile Suit Gundam SEED,CE,2750,MG
Aile Strike Gundam (HG),2002-11-16,Mobile Suit Gundam SEED,CE,1320,HG
Duel Gundam Assault Shroud (HG),2002-11-16,Mobile Suit Gundam SEED,CE,1320,HG
Aegis Gundam (HG),2002-12-25,Mobile Suit Gundam SEED,CE,1320,HG
Buster Gundam (HG),2003-01,Mobile Suit Gundam SEED,CE,1100,HG
Blitz Gundam (HG),2003-04,Mobile Suit Gundam SEED,CE,1320,HG
Mobile GINN (HG),2003-04,Mobile Suit Gundam SEED,CE,1100,HG
Freedom Gundam (HG),2003-06,Mobile Suit Gundam SEED,CE,1650,HG
Justice Gundam (HG),2003-07,Mobile Suit Gundam SEED,CE,1650,HG
Calamity Gundam (HG),2003-08,Mobile Suit Gundam SEED,CE,1320,HG
Forbidden Gundam (HG),2003-09,Mobile Suit Gundam SEED,CE,1650,HG
Raider Gundam (HG),2003-11,Mobile Suit Gundam SEED,CE,1650,HG
Providence Gundam (HG),2004-03,Mobile Suit Gundam SEED,CE,1650,HG
Mobile CGUE (HG),2004-04,Mobile Suit Gundam SEED,CE,1320,HG
Meteor Unit + Freedom Gundam (HG),2004-05,Mobile Suit Gundam SEED,CE,8800,HG
Mobile BuCUE (HG),2007-01-20,Mobile Suit Gundam SEED,CE,1540,HG
Aile Strike Gundam (HG),2011-11-19,Mobile Suit Gundam SEED,CE,1320,HG
Duel Gundam Assault Shroud (HG),2011-11-19,Mobile Suit Gundam SEED,CE,1320,HG
Buster Gundam (HG),2011-11-19,Mobile Suit Gundam SEED,CE,1100,HG
Blitz Gundam (HG),2011-11-19,Mobile Suit Gundam SEED,CE,1320,HG
Aegis Gundam (HG),2011-11-19,Mobile Suit Gundam SEED,CE,1320,HG
Mobile GINN (HG),2011-11-19,Mobile Suit Gundam SEED,CE,1100,HG
Mobile CGUE (HG),2012-01-21,Mobile Suit Gundam SEED,CE,1320,HG
Calamity Gundam (HG),2012-01-21,Mobile Suit Gundam SEED,CE,1320,HG
Forbidden Gundam (HG),2012-01,Mobile Suit Gundam SEED,CE,1650,HG
Raider Gundam (HG),2012-01-21,Mobile Suit Gundam SEED,CE,1650,HG
LaGOWE (HG),2012-02-25,Mobile Suit Gundam SEED,CE,1540,HG
Mobile BuCUE (HG),2012-02-25,Mobile Suit Gundam SEED,CE,1540,HG
Providence Gundam (HG),2012-02-25,Mobile Suit Gundam SEED,CE,1650,HG
Justice Gundam (HG),2012-02-29,Mobile Suit Gundam SEED,CE,1650,HG
Freedom Gundam (HG),2012-02-29,Mobile Suit Gundam SEED,CE,1650,HG
M1 Astray (HG),2012-06-23,Mobile Suit Gundam SEED,CE,1540,HG
Aile Strike Gundam (HG),2014-02-08,Mobile Suit Gundam SEED,CE,1430,HG
Strike Rouge (HG),2014-03-29,Mobile Suit Gundam SEED,CE,1540,HG
Freedom Gundam (Revive) (HG),2015-08-06,Mobile Suit Gundam SEED,CE,1980,HG
Aile Strike Gundam (MG),2003-10,Mobile Suit Gundam SEED,CE,4180,MG
Freedom Gundam (MG),2004-07-25,Mobile Suit Gundam SEED,CE,4180,MG
Strike Rouge (MG),2004-09,Mobile Suit Gundam SEED,CE,4400,MG
Launcher/Sword Strike Gundam (MG),2008-04-26,Mobile Suit Gundam SEED,CE,5500,MG
Duel Gundam Assault Shroud (MG),2012-02-08,Mobile Suit Gundam SEED,CE,4620,MG
Blitz Gundam (MG),2012-06-23,Mobile Suit Gundam SEED,CE,4400,MG
Buster Gundam (MG),2012-09-22,Mobile Suit Gundam SEED,CE,4400,MG
Aegis Gundam (MG),2012-10-27,Mobile Suit Gundam SEED,CE,5280,MG
Aile Strike Gundam (Ver. RM) (MG),2013-05-25,Mobile Suit Gundam SEED,CE,4620,MG
Freedom Gundam (2.0) (MG),2016-04-29,Mobile Suit Gundam SEED,CE,4950,MG
Providence Gundam (MG),2017-03-13,Mobile Suit Gundam SEED,CE,5500,MG
Justice Gundam (MG),2017-06-24,Mobile Suit Gundam SEED,CE,5280,MG
GINN (MG),2021-04-17,Mobile Suit Gundam SEED,CE,4730,MG
Strike Gundam,2004-11,Mobile Suit Gundam SEED,CE,15400,PG
Skygrasper + Aile Striker,2005-06-11,Mobile Suit Gundam SEED,CE,5500,PG
Aile Strike Rouge + Skygrasper,2005-08-27,Mobile Suit Gundam SEED,CE,20900,PG
Perfect Strike Gundam,2020-02-22,Mobile Suit Gundam SEED,CE,27500,PG
Aile Strike Gundam (RG),2011-04-30,Mobile Suit Gundam SEED,CE,2750,RG
Freedom Gundam (RG),2011-11-19,Mobile Suit Gundam SEED,CE,2750,RG
Skygrasper Launcher/Sword Pack (RG),2012-02-29,Mobile Suit Gundam SEED,CE,2750,RG
Justice Gundam (RG),2012-07-28,Mobile Suit Gundam SEED,CE,2750,RG
Strike Gundam (SD),2003-02,Mobile Suit Gundam SEED,CE,550,SD
Freedom Gundam (SD),2003-11,Mobile Suit Gundam SEED,CE,550,SD
Strike Gundam Striker Weapon System [Perfect Strike Gundam] (SD),2004-01,Mobile Suit Gundam SEED,CE,1100,SD
Aegis Gundam (SD),2004-02,Mobile Suit Gundam SEED,CE,550,SD
Blitz Gundam (SD),2004-05,Mobile Suit Gundam SEED,CE,550,SD
Justice Gundam (SD),2004-09,Mobile Suit Gundam SEED,CE,660,SD
Duel Gundam Assault Shroud (SD),2005-02,Mobile Suit Gundam SEED,CE,550,SD
Freedom Gundam (SD),2019-02-23,Mobile Suit Gundam SEED,CE,1100,SD
Aile Strike Gundam (SD),2015-10,Mobile Suit Gundam SEED,CE,660,SD
Gundam Astray Red Frame (MG),2004-04,Mobile Suit Gundam SEED Astray,CE,2200,MG
Gundam Astray Blue Frame Second L (MG),2004-07,Mobile Suit Gundam SEED Astray,CE,2750,MG
Gundam Astray Gold Frame (MG),2009-05,Mobile Suit Gundam SEED Astray,CE,4400,MG
Gundam Astray Gold Frame Amatsu (MG),2006-07-08,Mobile Suit Gundam SEED Astray,CE,4180,MG
Gundam Astray Red Frame (HG),2003-11,Mobile Suit Gundam SEED Astray,CE,1320,HG
Gundam Astray Blue Frame (HG),2004-02,Mobile Suit Gundam SEED Astray,CE,1320,HG
Rudolf Wittgensteinâ??s GOUF Ignited (HG),2008-01-26,Mobile Suit Gundam SEED Astray,CE,1650,HG
Kerberos BuCUE Hound (Alec Ladd Custom) (HG),2008-02-23,Mobile Suit Gundam SEED Astray,CE,1650,HG
Mobile CGUE (Xist Elwes Custom) (HG),2008-02-23,Mobile Suit Gundam SEED Astray,CE,1320,HG
Astray Green Frame (Trojan Noiret Custom) (HG),2008-03-26,Mobile Suit Gundam SEED Astray,CE,1320,HG
Gundam Astray Blue Frame Second L (HG),2013-05-25,Mobile Suit Gundam SEED Astray,CE,1870,HG
Gundam Astray Red Frame (Flight Unit) (HG),2013-08-24,Mobile Suit Gundam SEED Astray,CE,1870,HG
Gundam Astray Red Frame,2009-03-27,Mobile Suit Gundam SEED Astray,CE,19800,PG
Gundam Astray Red Frame (RG),2015-08-08,Mobile Suit Gundam SEED Astray,CE,2750,RG
Gundam Astray Red Frame (SD),2003-04,Mobile Suit Gundam SEED Astray,CE,550,SD
Gundam Astray Gold Frame (SD),2007-09,Mobile Suit Gundam SEED Astray,CE,1100,SD
Astray Red Frame (SD),2016-01,Mobile Suit Gundam SEED Astray,CE,660,SD
Gundam Astray Gold Frame Amatsu Mina (HG),2013-09-21,Mobile Suit Gundam SEED Astray R,CE,1980,HG
Gundam Astray Gold Frame Amatsu Mina (RG),2017-03-25,Mobile Suit Gundam SEED Astray R,CE,3300,RG
Strike E + I.W.S.P. (Lukas O’Donnell Custom) (MG),2008-02-23,Mobile Suit Gundam SEED C.E. 73 ? Astray,CE,4950,MG
Strike Noir Gundam (HG),2006-06-30,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,1650,HG
Verde Buster Gundam (HG),2006-08-09,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,1760,HG
105 Slaughter Dagger (HG),2006-08,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,1320,HG
Blu Duel Gundam (HG),2006-09-09,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,1760,HG
GINN Type Insurgent (HG),2006-09,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,1320,HG
Kerberos BuCUE Hound (HG),2006-11-24,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,2800,HG
Stargazer Gundam (HG),2006-11-24,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,1760,HG
Civilian Astray DSSD Custom (HG),2007-02,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,1650,HG
Strike Noir Gundam (MG),2007-03-18,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,4950,MG
Strike Noir Gundam (SD),2006-12,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,660,SD
Verde Buster Gundam (SD),2007-04,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,660,SD
Blu Duel Gundam (SD),2007-05,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,660,SD
Stargazer Gundam (SD),2007-08,Mobile Suit Gundam SEED C.E. 73: Stargazer,CE,660,SD
Force Impulse Gundam (MG),2004-12,Mobile Suit Gundam SEED Destiny,CE,2420,MG
Chaos Gundam (MG),2005-01,Mobile Suit Gundam SEED Destiny,CE,2530,MG
Gunner ZAKU Warrior Lunamaria colors (MG),2005-03,Mobile Suit Gundam SEED Destiny,CE,2530,MG
Blaze ZAKU Phantom Rey colors (MG),2005-04-21,Mobile Suit Gundam SEED Destiny,CE,2860,MG
Sword Impulse Gundam (MG),2005-05,Mobile Suit Gundam SEED Destiny,CE,2530,MG
ZAKU Warrior + Blaze & Gunner Wizard (MG),2005-05,Mobile Suit Gundam SEED Destiny,CE,3300,MG
Blaze ZAKU Phantom Heine colors (MG),2005-06-08,Mobile Suit Gundam SEED Destiny,CE,2860,MG
Destiny Gundam (MG),2005-07-16,Mobile Suit Gundam SEED Destiny,CE,2860,MG
Strike Freedom Gundam (MG),2005-08-06,Mobile Suit Gundam SEED Destiny,CE,2860,MG
Force Impulse Gundam + Sword Silhouette Extra Finish version (MG),2005-09,Mobile Suit Gundam SEED Destiny,CE,6600,MG
Infinite Justice Gundam (MG),2006-05-17,Mobile Suit Gundam SEED Destiny,CE,2860,MG
Legend Gundam (MG),2006-06-30,Mobile Suit Gundam SEED Destiny,CE,2860,MG
Saviour Gundam (MG),2006-10-25,Mobile Suit Gundam SEED Destiny,CE,2860,MG
Akatsuki Gundam Oowashi/Shiranui Pack Full Set (MG),2007-03,Mobile Suit Gundam SEED Destiny,CE,7150,MG
Force Impulse Gundam (HG),2004-11,Mobile Suit Gundam SEED Destiny,CE,1650,HG
ZAKU Warrior (HG),2004-11,Mobile Suit Gundam SEED Destiny,CE,1100,HG
Chaos Gundam (HG),2004-12,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Gaia Gundam (HG),2005-01,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Sword Impulse Gundam (HG),2005-02,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Gunner ZAKU Warrior (Lunamaria Hawke Custom) (HG),2005-02,Mobile Suit Gundam SEED Destiny,CE,1430,HG
Gunner ZAKU Warrior (HG),2005-03,Mobile Suit Gundam SEED Destiny,CE,1430,HG
Saviour Gundam (HG),2005-03,Mobile Suit Gundam SEED Destiny,CE,1650,HG
ZAKU Warrior (Live Concert Ver.) (HG),2005-03,Mobile Suit Gundam SEED Destiny,CE,1100,HG
Abyss Gundam (HG),2005-04-07,Mobile Suit Gundam SEED Destiny,CE,1650,HG
GOUF Ignited (Heine Westenfluss Custom) (HG),2005-05,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Blaze ZAKU Phantom (Rey Za Burrel Custom) (HG),2005-06-29,Mobile Suit Gundam SEED Destiny,CE,1650,HG
GINN Type High-Maneuver 2 (HG),2005-07-16,Mobile Suit Gundam SEED Destiny,CE,1650,HG
DOM Trooper (HG),2005-07-30,Mobile Suit Gundam SEED Destiny,CE,1650,HG
GOUF Ignited (Mass Production version) (HG),2005-08-12,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Infinite Justice Gundam (HG),2005-08-21,Mobile Suit Gundam SEED Destiny,CE,1760,HG
Gaia Gundam (Andrew Waltfeld Custom) (HG),2005-08,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Strike Freedom Gundam (HG),2005-09-30,Mobile Suit Gundam SEED Destiny,CE,1760,HG
Legend Gundam (HG),2005-10-21,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Destiny Gundam (HG),2005-11-23,Mobile Suit Gundam SEED Destiny,CE,1760,HG
Murasame (Andrew Waltfeld Custom) (HG),2005-12-17,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Shiranui Akatsuki Gundam (HG),2006-01-28,Mobile Suit Gundam SEED Destiny,CE,2640,HG
Murasame (HG),2006-03-11,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Oowashi Akatsuki Gundam (HG),2006-04-23,Mobile Suit Gundam SEED Destiny,CE,2640,HG
GOUF Ignited (Yzak Joule Custom) (HG),2007-08-11,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Blaze ZAKU Phantom (Dearka Eisman Custom) (HG),2007-09-08,Mobile Suit Gundam SEED Destiny,CE,1650,HG
Force Impulse Gundam (Revive) (HG),2016-06-18,Mobile Suit Gundam SEED Destiny,CE,1980,HG
Strike Freedom Gundam (Revive) (HG),2016-11-12,Mobile Suit Gundam SEED Destiny,CE,2200,HG
Destiny Gundam (HG),2019-05-31,Mobile Suit Gundam SEED Destiny,CE,2420,HG
Destiny Gundam (Heine Westenfluss Custom) (HG),2019-07-06,Mobile Suit Gundam SEED Destiny,CE,2420,HG
Infinite Justice Gundam (HG),2020-05-23,Mobile Suit Gundam SEED Destiny,CE,2420,HG
Jet Windam (HG),2020-05-23,Mobile Suit Gundam SEED Destiny,CE,1540,HG
Dagger L (HG),2021-04-10,Mobile Suit Gundam SEED Destiny,CE,1320,HG
Destroy Gundam (HG),2024-03-09,Mobile Suit Gundam SEED Destiny,CE,14300,HG
Strike Freedom Gundam (MG),2006-12-23,Mobile Suit Gundam SEED Destiny,CE,5280,MG
Destiny Gundam (MG),2007-10-28,Mobile Suit Gundam SEED Destiny,CE,5280,MG
Force Impulse Gundam (MG),2008-05-24,Mobile Suit Gundam SEED Destiny,CE,4950,MG
Infinite Justice Gundam (MG),2008-10,Mobile Suit Gundam SEED Destiny,CE,5500,MG
Sword Impulse Gundam (MG),2009-04,Mobile Suit Gundam SEED Destiny,CE,4950,MG
Strike Rouge + Ootori (Ver. RM) (MG),2013-09-28,Mobile Suit Gundam SEED Destiny,CE,4620,MG
Gunner ZAKU Warrior (Lunamaria Hawke Custom) (MG),2019-09-28,Mobile Suit Gundam SEED Destiny,CE,4730,MG
Strike Freedom Gundam,2010-12-11,Mobile Suit Gundam SEED Destiny,CE,27500,PG
Destiny Gundam (RG),2013-04-27,Mobile Suit Gundam SEED Destiny,CE,2750,RG
Strike Freedom Gundam (RG),2013-11-21,Mobile Suit Gundam SEED Destiny,CE,3300,RG
Force Impulse Gundam (RG),2020-04-25,Mobile Suit Gundam SEED Destiny,CE,3300,RG
Force Impulse Gundam (SD),2005-06,Mobile Suit Gundam SEED Destiny,CE,660,SD
Gunner Zaku Warrior (Lunamaria Hawke Custom) (SD),2005-07-23,Mobile Suit Gundam SEED Destiny,CE,660,SD
Blaze Zaku Phantom (Rey Za Burrel Custom) (SD),2005-11-26,Mobile Suit Gundam SEED Destiny,CE,660,SD
Strike Freedom Gundam (SD),2006-03-16,Mobile Suit Gundam SEED Destiny,CE,660,SD
Destiny Gundam (SD),2006-05-13,Mobile Suit Gundam SEED Destiny,CE,880,SD
Blaze Zaku Warrior (SD),2007-07,Mobile Suit Gundam SEED Destiny,CE,660,SD
Blaze Zaku Phantom (Heine Westenfluss Custom) (SD),2007-08-24,Mobile Suit Gundam SEED Destiny,CE,660,SD
Strike Freedom Gundam (SD),2015-12,Mobile Suit Gundam SEED Destiny,CE,660,SD
Destiny Gundam (SD),2016-03,Mobile Suit Gundam SEED Destiny,CE,660,SD
Gundam Astray Green Frame (MG),2009-03,Mobile Suit Gundam SEED Destiny Astray,CE,2750,MG
Nix Providence Gundam (MG),2009-09-28,Mobile Suit Gundam SEED Destiny Astray,CE,2750,MG
Gundam Astray Mirage Frame (MG),2009-10-29,Mobile Suit Gundam SEED Destiny Astray,CE,2750,MG
Vent Saviour Gundam (MG),2009-11-26,Mobile Suit Gundam SEED Destiny Astray,CE,3080,MG
Gundam Astray Mirage Frame 2nd Issue (MG),2010-01-30,Mobile Suit Gundam SEED Destiny Astray,CE,2750,MG
Gundam Astray Blue Frame D (MG),2014-11-22,Mobile Suit Gundam SEED Destiny Astray B,CE,5280,MG
Eclipse Gundam (MG),2021-08-21,Mobile Suit Gundam SEED Eclipse,CE,5500,MG
Arms Astray PMC Custom (Leons Graves) (HG),2008-03-26,Mobile Suit Gundam SEED Frame Astrays,CE,1650,HG
Rising Freedom Gundam (HG),2024-01-26,Mobile Suit Gundam SEED Freedom,CE,2640,HG
Immortal Justice Gundam (HG),2024-01-26,Mobile Suit Gundam SEED Freedom,CE,2640,HG
Black Knight Squad Shi-ve.A (HG),2024-02-23,Mobile Suit Gundam SEED Freedom,CE,2970,HG
Black Knight Squad Rud-ro.A (Griffin Arbalest Custom) (HG),2024-03-23,Mobile Suit Gundam SEED Freedom,CE,2970,HG
GELGOOG Menace (Lunamaria Hawke Custom) (HG),2024-03-23,Mobile Suit Gundam SEED Freedom,CE,3190,HG
GYAN Strom (Agnes Giebenrath Custom) (HG),2024-04-27,Mobile Suit Gundam SEED Freedom,CE,3190,HG
Mighty Strike Freedom Gundam (HG),2024-05-25,Mobile Suit Gundam SEED Freedom,CE,2970,HG
