Product Name,Release Date,First appearance,Continuity,MSRP,Grade
Infinite Justice Gundam Type II (HG),2024-06-29,Mobile Suit Gundam SEED Freedom,CE,3080,HG
Duel Blitz Gundam (HG),2024-07,Mobile Suit Gundam SEED Freedom,CE,2970,HG
Lightning Buster Gundam (HG),2024-09,Mobile Suit Gundam SEED Freedom,CE,2860,HG
Force Impulse Gundam Spec-II (RG),2024-02-10,Mobile Suit Gundam SEED Freedom,CE,3410,RG
Mighty Strike Freedom (SD),2024-09,Mobile Suit Gundam SEED Freedom,CE,1980,SD
Rising Freedom Gundam (SD),2024-01-26,Mobile Suit Gundam SEED Freedom,CE,660,SD
Perfect Strike Gundam (HG),2013-02-23,Mobile Suit Gundam SEED HD Remaster,CE,1870,HG
Mobile GINN (Miguel Aiman) (HG),2004-05,Mobile Suit Gundam SEED MSV,CE,1100,HG
Strike Rouge + IWSP (HG),2004-05,Mobile Suit Gundam SEED MSV,CE,1650,HG
GINN Type High-Maneuver (HG),2004-06,Mobile Suit Gundam SEED MSV,CE,1320,HG
Hyperion Gundam (HG),2004-07,Mobile Suit Gundam SEED MSV,CE,1320,HG
CGUE Type D.E.E.P. Arms (HG),2004-08,Mobile Suit Gundam SEED MSV,CE,1650,HG
105 Dagger + Gunbarrel (HG),2004-09,Mobile Suit Gundam SEED MSV,CE,1650,HG
Dreadnought Gundam (HG),2004-10,Mobile Suit Gundam SEED MSV,CE,1650,HG
Strike Gundam + I.W.S.P. (MG),2006-10-28,Mobile Suit Gundam SEED MSV,CE,4620,MG
Gale Strike Gundam (MG),2009-08,Mobile Suit Gundam SEED VS Astray,CE,2750,MG
Hail Buster Gundam (MG),2009-08,Mobile Suit Gundam SEED VS Astray,CE,2750,MG
Regen Duel Gundam (MG),2009-09,Mobile Suit Gundam SEED VS Astray,CE,4200,MG
Nebula Blitz Gundam (MG),2009-12,Mobile Suit Gundam SEED VS Astray,CE,3080,MG
Gundam Astray Blue Frame 2nd Revise (MG),2009-10-24,Mobile Suit Gundam SEED VS Astray,CE,5280,MG
Gundam Astray Red Frame Kai (MG),2010-02-27,Mobile Suit Gundam SEED VS Astray,CE,5500,MG
Blue Destiny Unit 2 (HG),2007-04-20,Mobile Suit Gundam Side Story: The Blue Destiny,UC,1650,HG
Blue Destiny Unit 1 (HG),2007-07-08,Mobile Suit Gundam Side Story: The Blue Destiny,UC,1650,HG
Blue Destiny Unit 3 (HG),2007-09-16,Mobile Suit Gundam Side Story: The Blue Destiny,UC,1650,HG
Blue Destiny Unit 1 “EXAM” (HG),2017-08-05,Mobile Suit Gundam Side Story: The Blue Destiny,UC,1760,HG
Blue Destiny Unit 2 “EXAM” (HG),2017-12-09,Mobile Suit Gundam Side Story: The Blue Destiny,UC,1760,HG
Blue Destiny Unit 3 “EXAM” (HG),2018-05-17,Mobile Suit Gundam Side Story: The Blue Destiny,UC,1760,HG
Efreet Custom,2016-04-23,Mobile Suit Gundam Side Story: The Blue Destiny,UC,3850,RE
Blue Destiny Unit 3 (SD),2000-10,Mobile Suit Gundam Side Story: The Blue Destiny,UC,440,SD
Blue Destiny Unit 1 (SD),2001-11,Mobile Suit Gundam Side Story: The Blue Destiny,UC,440,SD
Full Armor Gundam (HG),2013-12-28,Mobile Suit Gundam Thunderbolt,UC,2970,HG
GM (HG),2013-12,Mobile Suit Gundam Thunderbolt,UC,1980,HG
Zaku II + Big Gun Set (HG),2013-12-28,Mobile Suit Gundam Thunderbolt,UC,4180,HG
Zaku II (HG),2014-02-28,Mobile Suit Gundam Thunderbolt,UC,1980,HG
Psycho Zaku (HG),2014-02,Mobile Suit Gundam Thunderbolt,UC,2970,HG
Zaku I (HG),2014-06,Mobile Suit Gundam Thunderbolt,UC,1980,HG
Full Armor Gundam (Animation version) (HG),2016-04-09,Mobile Suit Gundam Thunderbolt,UC,2970,HG
Zaku II + Big Gun Set (Animation version) (HG),2016-04,Mobile Suit Gundam Thunderbolt,UC,4180,HG
Psycho Zaku (Animation version) (HG),2016-05,Mobile Suit Gundam Thunderbolt,UC,2970,HG
GM (Animation version) (HG),2016-05,Mobile Suit Gundam Thunderbolt,UC,1980,HG
Zaku I (Animation version) (HG),2016-06,Mobile Suit Gundam Thunderbolt,UC,1980,HG
Atlas Gundam (HG),2017-03-01,Mobile Suit Gundam Thunderbolt,UC,2530,HG
Gundam Ground Type-S (HG),2017-05,Mobile Suit Gundam Thunderbolt,UC,1980,HG
Full Armor Gundam (Thunderbolt) (Ver. Ka) (MG),2016-07-23,Mobile Suit Gundam Thunderbolt,UC,7700,MG
Zaku II High Mobility Type “Psycho Zaku” (Ver. Ka) (MG),2016-12-16,Mobile Suit Gundam Thunderbolt,UC,9900,MG
Gundam Tristan (HG),2017-06-10,Mobile Suit Gundam Twilight Axis,UC,1650,HG
Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative version) (HG),2018-06-23,Mobile Suit Gundam UC: One of Seventy Two,UC,3080,HG
Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative version) (Gold Coating version) (HG),2018-10-06,Mobile Suit Gundam UC: One of Seventy Two,UC,5500,HG
Unicorn Gundam 03 Phenex (Unicorn Mode) (Narrative version) (Gold Coating version) (HG),2019-08-03,Mobile Suit Gundam UC: One of Seventy Two,UC,5500,HG
Unicorn Gundam 03 Phenex (MG),2014-02-15,Mobile Suit Gundam UC: One of Seventy Two,UC,13200,MG
Kshatriya (HG),2009-10-15,Mobile Suit Gundam Unicorn,UC,4950,HG
Unicorn Gundam (Destroy Mode) (HG),2009-11-11,Mobile Suit Gundam Unicorn,UC,1980,HG
Unicorn Gundam (Unicorn Mode) (HG),2009-11-21,Mobile Suit Gundam Unicorn,UC,1650,HG
Geara Zulu (HG),2009-12-26,Mobile Suit Gundam Unicorn,UC,1980,HG
ReZEL (HG),2010-01-22,Mobile Suit Gundam Unicorn,UC,2200,HG
Stark Jegan (HG),2010-02-18,Mobile Suit Gundam Unicorn,UC,2200,HG
Loto (Twin set) (HG),2010-03-06,Mobile Suit Gundam Unicorn,UC,1760,HG
ReZEL Commander Type (HG),2010-03-18,Mobile Suit Gundam Unicorn,UC,2420,HG
Geara Zulu (Angelo Sauper Use) (HG),2010-07-31,Mobile Suit Gundam Unicorn,UC,2420,HG
Delta Plus (HG),2010-09-11,Mobile Suit Gundam Unicorn,UC,2420,HG
Sinanju (HG),2010-10-23,Mobile Suit Gundam Unicorn,UC,2860,HG
Geara Zulu (Guards Type) (HG),2011-03-05,Mobile Suit Gundam Unicorn,UC,2200,HG
Jegan (ECOAS Type) (HG),2011-04-09,Mobile Suit Gundam Unicorn,UC,1760,HG
Dreissen (Unicorn version) (HG),2011-05-21,Mobile Suit Gundam Unicorn,UC,2200,HG
Jesta (HG),2011-09-17,Mobile Suit Gundam Unicorn,UC,1760,HG
Zee Zulu (HG),2011-11-26,Mobile Suit Gundam Unicorn,UC,2420,HG
Unicorn Gundam 02 Banshee (Destroy Mode) (HG),2012-01-08,Mobile Suit Gundam Unicorn,UC,1980,HG
Unicorn Gundam 02 Banshee (Unicorn Mode) (HG),2012-01-08,Mobile Suit Gundam Unicorn,UC,1760,HG
Zaku I Sniper Type (Yonem Kirks Custom) (HG),2012-03-24,Mobile Suit Gundam Unicorn,UC,1760,HG
Marasai (Unicorn version) (HG),2012-03-24,Mobile Suit Gundam Unicorn,UC,1760,HG
Juaggu (Unicorn version) (HG),2012-03-30,Mobile Suit Gundam Unicorn,UC,1870,HG
Nemo (Unicorn version) (HG),2012-04-21,Mobile Suit Gundam Unicorn,UC,1650,HG
Anksha (HG),2012-05-26,Mobile Suit Gundam Unicorn,UC,2860,HG
ReZEL Type C (Defenser B-Unit) (GR) (HG),2012-06-16,Mobile Suit Gundam Unicorn,UC,2860,HG
Base Jabber (Unicorn version) (HG),2012-07-14,Mobile Suit Gundam Unicorn,UC,1100,HG
Byarlant Custom (HG),2012-11-10,Mobile Suit Gundam Unicorn,UC,2860,HG
Rozen Zulu (HG),2012-12-29,Mobile Suit Gundam Unicorn,UC,3080,HG
Jesta Cannon (HG),2013-02-23,Mobile Suit Gundam Unicorn,UC,2200,HG
Unicorn Gundam 02 Banshee Norn (Unicorn Mode) (HG),2013-03-09,Mobile Suit Gundam Unicorn,UC,1870,HG
Full Armor Unicorn Gundam (Unicorn Mode) (HG),2013-05-02,Mobile Suit Gundam Unicorn,UC,3300,HG
Base Jabber Type 89 (HG),2013-06-15,Mobile Suit Gundam Unicorn,UC,1320,HG
Döven Wolf (Unicorn version) (HG),2013-08-07,Mobile Suit Gundam Unicorn,UC,2420,HG
Zogok (Unicorn version) (HG),2013-09-07,Mobile Suit Gundam Unicorn,UC,1870,HG
Nemo (Unicorn Desert Color version) (HG),2013-11-16,Mobile Suit Gundam Unicorn,UC,1650,HG
Unicorn Gundam 02 Banshee Norn (Destroy Mode) (HG),2014-03-22,Mobile Suit Gundam Unicorn,UC,2200,HG
Full Armor Unicorn Gundam (Destroy Mode) (HG),2014-04-19,Mobile Suit Gundam Unicorn,UC,3520,HG
Kshatriya Repaired (HG),2014-03-17,Mobile Suit Gundam Unicorn,UC,7150,HG
Zssa (Unicorn version) (HG),2014-06-21,Mobile Suit Gundam Unicorn,UC,2640,HG
Neo Zeong (HG),2014-06-28,Mobile Suit Gundam Unicorn,UC,27500,HG
Zeta Plus A1 (Unicorn version) (HG),2014-07-12,Mobile Suit Gundam Unicorn,UC,2640,HG
Schuzrum-Galluss (HG),2014-07-12,Mobile Suit Gundam Unicorn,UC,2640,HG
Rozen Zulu (Episode 7 version) (HG),2014-08-09,Mobile Suit Gundam Unicorn,UC,3080,HG
Full Armor Unicorn Gundam (Destroy Mode/Red Color version) (HG),2016-06-18,Mobile Suit Gundam Unicorn,UC,3740,HG
Efreet Schneid (HG),2017-07-08,Mobile Suit Gundam Unicorn,UC,1980,HG
Gustav Karl Type-13 (Unicorn version) (HG),2019-02-16,Mobile Suit Gundam Unicorn,UC,2640,HG
Unicorn Gundam (Ver. Ka) (MG),2007-12-22,Mobile Suit Gundam Unicorn,UC,5500,MG
Sinanju (Ver. Ka) (MG),2008-12-27,Mobile Suit Gundam Unicorn,UC,7700,MG
Unicorn Gundam (OVA version) (MG),2010-03-11,Mobile Suit Gundam Unicorn,UC,5500,MG
ReZEL (MG),2010-10-23,Mobile Suit Gundam Unicorn,UC,5280,MG
ReZEL Commander Type (MG),2011-01-15,Mobile Suit Gundam Unicorn,UC,5500,MG
Delta Plus (MG),2011-08-06,Mobile Suit Gundam Unicorn,UC,4950,MG
Full Armor Unicorn Gundam (Ver. Ka) (MG),2011-12-24,Mobile Suit Gundam Unicorn,UC,8800,MG
Unicorn Gundam 02 Banshee (MG),2012-03-24,Mobile Suit Gundam Unicorn,UC,6050,MG
ReZEL Type-C (Defenser b-Unit) (GR) (MG),2013-03-23,Mobile Suit Gundam Unicorn,UC,7150,MG
Sinanju (OVA version) (MG),2013-03-27,Mobile Suit Gundam Unicorn,UC,8250,MG
Jesta (MG),2013-04-20,Mobile Suit Gundam Unicorn,UC,4400,MG
Unicorn Gundam 02 Banshee (Ver. Ka) (MG),2018-03-10,Mobile Suit Gundam Unicorn,UC,5500,MG
Unicorn Gundam,2014-12-13,Mobile Suit Gundam Unicorn,UC,22000,PG
Unicorn Gundam 02 Banshee Norn,2015-09-30,Mobile Suit Gundam Unicorn,UC,24200,PG
Sinanju (RG),2016-08-06,Mobile Suit Gundam Unicorn,UC,4180,RG
Unicorn Gundam (RG),2017-08-05,Mobile Suit Gundam Unicorn,UC,4180,RG
Unicorn Gundam 02 Banshee Norn (RG),2018-02-17,Mobile Suit Gundam Unicorn,UC,4400,RG
Full Armor Unicorn Gundam (RG),2018-12-22,Mobile Suit Gundam Unicorn,UC,5940,RG
Unicorn Gundam (SD),2010-02-25,Mobile Suit Gundam Unicorn,UC,1100,SD
Sinanju (SD),2011-03-05,Mobile Suit Gundam Unicorn,UC,1100,SD
Kshatriya (SD),2011-06-27,Mobile Suit Gundam Unicorn,UC,1100,SD
Delta Plus (SD),2013-02-09,Mobile Suit Gundam Unicorn,UC,1320,SD
Unicorn Gundam 02 Banshee (SD),2013-03-09,Mobile Suit Gundam Unicorn,UC,1320,SD
Full Armor Unicorn Gundam (SD),2014-04-19,Mobile Suit Gundam Unicorn,UC,1650,SD
Unicorn Gundam 02 Banshee Norn (SD),2014-05-17,Mobile Suit Gundam Unicorn,UC,1320,SD
Neo Zeong (SD),2014-06-07,Mobile Suit Gundam Unicorn,UC,2200,SD
Unicorn Gundam Destory Mode (SD),2019-08-03,Mobile Suit Gundam Unicorn,UC,1100,SD
Banshee & Norn Parts (SD),2023-07-15,Mobile Suit Gundam Unicorn,UC,2200,SD
Unicorn Gundam [Destroy Mode] (SD),2015-11,Mobile Suit Gundam Unicorn,UC,660,SD
Sinanju (SD),2017-03-18,Mobile Suit Gundam Unicorn,UC,660,SD
Banshee Norn [Destroy Mode] (SD),2017-03-18,Mobile Suit Gundam Unicorn,UC,660,SD
Silver Bullet (HG),2014-01-25,Mobile Suit Gundam Unicorn - Bande Desinee,UC,2420,HG
Gundam Delta Kai (HG),2012-12-08,Mobile Suit Gundam Unicorn (video game),UC,2860,HG
Sinanju Stein (Ver. Ka) (MG),2013-02-23,Mobile Suit Gundam Unicorn (video game),UC,7700,MG
Wing Gundam (HG),2013-09-14,Mobile Suit Gundam Wing,AC,1650,HG
Wing Gundam Zero (HG),2014-03-08,Mobile Suit Gundam Wing,AC,1760,HG
Leo (HG),2018-05-11,Mobile Suit Gundam Wing,AC,1100,HG
Maganac (HG),2019-04-20,Mobile Suit Gundam Wing,AC,1320,HG
Gundam Sandrock (HG),2019-09-14,Mobile Suit Gundam Wing,AC,1650,HG
Gundam Heavyarms (HG),2020-10-24,Mobile Suit Gundam Wing,AC,1650,HG
Gundam Deathscythe (HG),2021-05-22,Mobile Suit Gundam Wing,AC,1650,HG
Shenlong Gundam (HG),2022-09-10,Mobile Suit Gundam Wing,AC,1650,HG
Wing Gundam Ver. Ka (MG),2004-03,Mobile Suit Gundam Wing,AC,3850,MG
Wing Gundam Zero (MG),2004-10,Mobile Suit Gundam Wing,AC,4180,MG
Wing Gundam (MG),2010-04-28,Mobile Suit Gundam Wing,AC,4400,MG
Wing Gundam (RG),2021-06-19,Mobile Suit Gundam Wing,AC,3520,RG
Gundam Epyon (RG),2023-09-30,Mobile Suit Gundam Wing,AC,4620,RG
Wing Gundam (SD),1995-07,Mobile Suit Gundam Wing,AC,880,SD
Shenlong Gundam (SD),1995-08-01,Mobile Suit Gundam Wing,AC,880,SD
Wing Gundam Zero (SD),1995-11-21,Mobile Suit Gundam Wing,AC,880,SD
Gundam Epyon (SD),1995-11,Mobile Suit Gundam Wing,AC,880,SD
Wing Gundam Zero Custom (SD),2000-03,Mobile Suit Gundam Wing,AC,550,SD
Wing Gundam Zero EW (SD),2015-10,Mobile Suit Gundam Wing,AC,660,SD
Gundam Deathscythe Hell (SD),2017-03-18,Mobile Suit Gundam Wing,AC,660,SD
Wing Gundam Zero (SD),2021-09-25,Mobile Suit Gundam Wing,AC,660,SD
Wing Gundam (SD),2000-03,Mobile Suit Gundam Wing,AC,550,SD
Gundam Deathscythe (SD),2000-03,Mobile Suit Gundam Wing,AC,440,SD
Gundam Heavyarms (SD),2000-03,Mobile Suit Gundam Wing,AC,440,SD
Gundam Sandrock (SD),2000-03,Mobile Suit Gundam Wing,AC,440,SD
Shenlong Gundam (SD),2000-03,Mobile Suit Gundam Wing,AC,440,SD
Wing Gundam Zero (SD),2000-04,Mobile Suit Gundam Wing,AC,550,SD
Gundam Epyon (SD),2000-06,Mobile Suit Gundam Wing,AC,440,SD
Tallgeese (SD),2000-08,Mobile Suit Gundam Wing,AC,440,SD
Maganac (SD),2000-12,Mobile Suit Gundam Wing,AC,440,SD
Tallgeese EW (MG),2013-01-26,Mobile Suit Gundam Wing Endless Waltz: Glory of the Losers,AC,4180,MG
Wing Gundam EW (RG),2016-01-09,Mobile Suit Gundam Wing Endless Waltz: Glory of the Losers,AC,2750,RG
Tallgeese EW (RG),2018-04-28,Mobile Suit Gundam Wing Endless Waltz: Glory of the Losers,AC,2750,RG
Gundam Deathscythe EW (MG),2010-09-24,Mobile Suit Gundam Wing: Endless Waltz,AC,4180,MG
Gundam Deathscythe Hell (MG),2011-02-26,Mobile Suit Gundam Wing: Endless Waltz,AC,4950,MG
Shenlong Gundam EW (MG),2011-03-26,Mobile Suit Gundam Wing: Endless Waltz,AC,4180,MG
Wing Gundam EW (MG),2011-03-26,Mobile Suit Gundam Wing: Endless Waltz,AC,3850,MG
Gundam Sandrock EW (MG),2011-10-29,Mobile Suit Gundam Wing: Endless Waltz,AC,4180,MG
Gundam Heavyarms EW (MG),2012-01-28,Mobile Suit Gundam Wing: Endless Waltz,AC,4180,MG
Wing Gundam Proto Zero EW (MG),2013-10-26,Mobile Suit Gundam Wing: Endless Waltz,AC,5280,MG
Wing Gundam Zero EW (Ver. Ka) (MG),2020-11-28,Mobile Suit Gundam Wing: Endless Waltz,AC,6050,MG
Wing Gundam Zero Custom,2000-11-23,Mobile Suit Gundam Wing: Endless Waltz,AC,16500,PG
Wing Gundam Zero EW (RG),2014-12-26,Mobile Suit Gundam Wing: Endless Waltz,AC,2750,RG
Wing Gundam Endless Waltz Version (SD),2011-06-11,Mobile Suit Gundam Wing: Endless Waltz,AC,880,SD
Wing Gundam Zero EW (SD),2019-11-09,Mobile Suit Gundam Wing: Endless Waltz,AC,1100,SD
Gundam Epyon EW (MG),2011-06-25,Mobile Suit Gundam Wing: Frozen Teardrop,AC,5280,MG
Gundam Geminass 01 (SD),2000-02,Mobile Suit Gundam Wing: G-Unit,AC,440,SD
Gundam Aquarius (SD),2000-09,Mobile Suit Gundam Wing: G-Unit,AC,440,SD
Zaku III Custom (HG),1999-08-20,Mobile Suit Gundam ZZ,UC,1650,HG
Qubeley Mk-II (HG),2000-06,Mobile Suit Gundam ZZ,UC,1650,HG
Zaku III (HG),2000-09,Mobile Suit Gundam ZZ,UC,1650,HG
Bawoo (HG),2000-09,Mobile Suit Gundam ZZ,UC,1320,HG
Bawoo (Mass Production) (HG),2002-06,Mobile Suit Gundam ZZ,UC,1320,HG
Schuzrum Dias (HG),2009-04-02,Mobile Suit Gundam ZZ,UC,1870,HG
EWAC Zack (HG),2009-06,Mobile Suit Gundam ZZ,UC,1760,HG
ZZ Gundam (HG),2010-06-09,Mobile Suit Gundam ZZ,UC,2530,HG
GM III (HG),2011-07-09,Mobile Suit Gundam ZZ,UC,1650,HG
Zaku Mariner (HG),2012-07-14,Mobile Suit Gundam ZZ,UC,1540,HG
Dreissen (HG),2014-02-22,Mobile Suit Gundam ZZ,UC,2200,HG
Döven Wolf (HG),2014-02-22,Mobile Suit Gundam ZZ,UC,2420,HG
R-Jarja (HG),2019-01-12,Mobile Suit Gundam ZZ,UC,2090,HG
ZZ Gundam (MG),1999-12,Mobile Suit Gundam ZZ,UC,4400,MG
Full Armor ZZ Gundam (MG),2000-08,Mobile Suit Gundam ZZ,UC,6600,MG
Qubeley Mk-II (Ple Two Custom) (MG),2004-02,Mobile Suit Gundam ZZ,UC,4400,MG
Qubeley Mk-II (Elpeo Ple Custom) (MG),2009-11-12,Mobile Suit Gundam ZZ,UC,4400,MG
ZZ Gundam (Ver. Ka) (MG),2017-09-23,Mobile Suit Gundam ZZ,UC,6600,MG
Bawoo,2016-11-26,Mobile Suit Gundam ZZ,UC,3850,RE
Hamma-Hamma,2017-07-22,Mobile Suit Gundam ZZ,UC,4950,RE
Zetaman 2 (SD),1987-05,Mobile Suit Gundam ZZ,UC,330,SD
Zaku III (SD),1988-08-25,Mobile Suit Gundam ZZ,UC,330,SD
Full Armor ZZ Gundam (SD),1988-11-25,Mobile Suit Gundam ZZ,UC,330,SD
ZZ Gundam (SD),2000-10,Mobile Suit Gundam ZZ,UC,880,SD
Zaku III Custom (SD),1988,Mobile Suit Gundam ZZ,UC,440,SD
ZZ Gundam & Mega Rider (SD),1988,Mobile Suit Gundam ZZ,UC,440,SD
Queen Mansa (SD),2000-11,Mobile Suit Gundam ZZ,UC,440,SD
"Gelgoog, Gelgoog Cannon (HG)",2007-03,"Mobile Suit Gundam, Mobile Suit Variations",UC,1760,HG
Hi-Nu Gundam (HG),2009-06,Mobile Suit Gundam: Beltorchika’s Children,UC,2420,HG
Nightingale (HG),2021-07-22,Mobile Suit Gundam: Beltorchika’s Children,UC,7700,HG
Hi-Nu Gundam (MG),2007-02,Mobile Suit Gundam: Beltorchika’s Children,UC,7700,MG
Hi-Nu Gundam (Ver. Ka) (MG),2014-08-30,Mobile Suit Gundam: Beltorchika’s Children,UC,7700,MG
Nightingale,2014-09-13,Mobile Suit Gundam: Beltorchika’s Children,UC,8800,RE
Hi-Nu Gundam (RG),2021-09-11,Mobile Suit Gundam: Beltorchika’s Children,UC,4950,RG
Hi-Nu Gundam (SD),2013-07-13,Mobile Suit Gundam: Beltorchika’s Children,UC,1320,SD
Nightingale (SD),2018-06-30,Mobile Suit Gundam: Beltorchika’s Children,UC,1540,SD
Jagd Doga (Gyunei Guss Custom) (HG),2007-10,Mobile Suit Gundam: Char’s Counterattack,UC,2420,HG
Jagd Doga (Quess Paraya Custom) (HG),2007-10,Mobile Suit Gundam: Char’s Counterattack,UC,2420,HG
Re-GZ (HG),2008-01,Mobile Suit Gundam: Char’s Counterattack,UC,3080,HG
Nu Gundam (HG),2008-03,Mobile Suit Gundam: Char’s Counterattack,UC,2750,HG
Sazabi (HG),2008-06-28,Mobile Suit Gundam: Char’s Counterattack,UC,3080,HG
Geara Doga (HG),2008-11,Mobile Suit Gundam: Char’s Counterattack,UC,1980,HG
Geara Doga (Rezin Schnyder Custom) (HG),2009-01-17,Mobile Suit Gundam: Char’s Counterattack,UC,1980,HG
Jegan (HG),2009-08-07,Mobile Suit Gundam: Char’s Counterattack,UC,1650,HG
Sazabi (MG),2000-07,Mobile Suit Gundam: Char’s Counterattack,UC,8800,MG
Nu Gundam (MG),2000-12,Mobile Suit Gundam: Char’s Counterattack,UC,5500,MG
Re-GZ (MG),2001-06,Mobile Suit Gundam: Char’s Counterattack,UC,4400,MG
Nu Gundam (Ver. Ka) (MG),2012-12-15,Mobile Suit Gundam: Char’s Counterattack,UC,7700,MG
Geara Doga (MG),2013-07-20,Mobile Suit Gundam: Char’s Counterattack,UC,5280,MG
Sazabi (Ver. Ka) (MG),2013-12-14,Mobile Suit Gundam: Char’s Counterattack,UC,9900,MG
Jegan (MG),2018-07-14,Mobile Suit Gundam: Char’s Counterattack,UC,4400,MG
Jagd Doga (Gyunei Guss Custom),2018-09-22,Mobile Suit Gundam: Char’s Counterattack,UC,4950,RE
Sazabi (RG),2018-08-11,Mobile Suit Gundam: Char’s Counterattack,UC,4950,RG
Nu Gundam (RG),2019-08-10,Mobile Suit Gundam: Char’s Counterattack,UC,4620,RG
Nu Gundam (SD),1988-05-15,Mobile Suit Gundam: Char’s Counterattack,UC,330,SD
Sazabi (SD),1988-05-15,Mobile Suit Gundam: Char’s Counterattack,UC,330,SD
Jagd-Doga (SD),1988-05-15,Mobile Suit Gundam: Char’s Counterattack,UC,330,SD
Jegan (SD),1988-06-15,Mobile Suit Gundam: Char’s Counterattack,UC,330,SD
Re-GZ (SD),1988-07-15,Mobile Suit Gundam: Char’s Counterattack,UC,330,SD
Geara Doga (SD),1988-07-15,Mobile Suit Gundam: Char’s Counterattack,UC,330,SD
Nu Gundam (SD),2000-08,Mobile Suit Gundam: Char’s Counterattack,UC,550,SD
Sazabi (SD),2013-05-25,Mobile Suit Gundam: Char’s Counterattack,UC,1100,SD
Nu Gundam (Revive) (SD),2014-01-31,Mobile Suit Gundam: Char’s Counterattack,UC,1320,SD
Nu Gundam (SD),2020-12-12,Mobile Suit Gundam: Char’s Counterattack,UC,660,SD
Sazabi (SD),2020-12-12,Mobile Suit Gundam: Char’s Counterattack,UC,660,SD
Nu Gundam (SD),1988,Mobile Suit Gundam: Char’s Counterattack,UC,440,SD
Sazabi (SD),1988,Mobile Suit Gundam: Char’s Counterattack,UC,440,SD
Jagd-Doga (SD),1988,Mobile Suit Gundam: Char’s Counterattack,UC,440,SD
Jegan (SD),1988,Mobile Suit Gundam: Char’s Counterattack,UC,440,SD
Re-GZ Custom (SD),1988,Mobile Suit Gundam: Char’s Counterattack,UC,440,SD
Geara-Doga Custom (SD),1988,Mobile Suit Gundam: Char’s Counterattack,UC,440,SD
Extreme Gundam (HG),2011-02-19,Mobile Suit Gundam: Extreme VS.,UC,1760,HG
Casval’s Gundam (1.5) (MG),2002-08,Mobile Suit Gundam: Gihren’s Greed,UC,3300,MG
Gundam Gerbera,2015-04-29,Mobile Suit Gundam: Gihren’s Greed,UC,3850,RE
Gundam GP04 (SD),2000-10,Mobile Suit Gundam: Gihren’s Greed,UC,440,SD
Penelope (HG),2019-10-26,Mobile Suit Gundam: Hathaway’s Flash,UC,7480,HG
